Genre,Sequence,Label
Blues,"[('1/4', '33', 72), ('1/4', '33', 72), ('3/8', '33', 72), ('1/8', '33', 72), ('1/8', '38', 72), ('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/4', '33', 72), ('3/8', '33', 72), ('1/8', '33', 72), ('1/8', '38', 72), ('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72)]","[('1/4', '37', 72)]"
Blues,"[('3/8', '33', 72), ('1/8', '33', 72), ('1/8', '38', 72), ('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72)]","[('1/8', '37', 72)]"
Blues,"[('1/8', '33', 72), ('1/8', '38', 72), ('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72)]","[('1/4', '38', 72)]"
Blues,"[('1/8', '38', 72), ('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72)]","[('1/8', '39', 72)]"
Blues,"[('1/8', '38', 72), ('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72)]","[('1/8', '40', 72)]"
Blues,"[('1/8', '39', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72)]","[('1/8', '40', 72)]"
Blues,"[('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72)]","[('1/8', '28', 72)]"
Blues,"[('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '28', 72)]","[('1/4', '30', 72)]"
Blues,"[('1/8', '40', 72), ('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '28', 72), ('1/4', '30', 72)]","[('1/8', '31', 72)]"
Blues,"[('1/8', '45', 72), ('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '28', 72), ('1/4', '30', 72), ('1/8', '31', 72)]","[('1/8', '28', 72)]"
Blues,"[('1/4', '37', 72), ('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '28', 72), ('1/4', '30', 72), ('1/8', '31', 72), ('1/8', '28', 72)]","[('1/8', '32', 72)]"
Blues,"[('1/8', '37', 72), ('1/4', '38', 72), ('1/8', '39', 72), ('1/8', '40', 72), ('1/8', '40', 72), ('1/8', '28', 72), ('1/4', '30', 72), ('1/8', '31', 72), ('1/8', '28', 72), ('1/8', '32', 72)]","[('1/8', '28', 72)]"
