Genre,Sequence,Label
Blues,"[('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72)]","[('1/8', '51', 72)]"
Blues,"[('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72)]","[('1/8', '52', 72)]"
Blues,"[('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72), ('1/8', '52', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72)]","[('1/8', '60,64', 72)]"
Blues,"[('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72)]","[('1/4', '57', 72)]"
Blues,"[('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '45', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72)]","[('1/8', '55', 72)]"
