Genre,Sequence,Label
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('3/8', '64', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72)]","[('3/8', '61', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72)]","[('1/4', '64,67', 72)]"
Blues,"[('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72)]","[('1/4', '62,66', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('3/8', '64', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72)]","[('3/8', '61', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72)]","[('1/4', '64,67', 72)]"
Blues,"[('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72)]","[('1/4', '62,66', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('1/4', '64', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72)]","[('1/4', '61', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72)]","[('1/8', '64,69,72', 72)]"
Blues,"[('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72)]","[('1/4', '64,69,72', 72)]"
Blues,"[('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72)]","[('1/8', '64,69,72', 72)]"
Blues,"[('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72)]","[('1/4', '62,67,71', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72)]","[('1/8', '65,69', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72)]","[('3/8', '66', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72)]","[('1/8', '64,69,72', 72)]"
Blues,"[('1/4', '62,66', 72), ('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72)]","[('1/4', '64,69,72', 72)]"
Blues,"[('1/4', '64', 72), ('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72)]","[('1/8', '64,69,72', 72)]"
Blues,"[('1/4', '61', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72)]","[('1/4', '62,67,71', 72)]"
Blues,"[('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72)]","[('1/8', '65,69', 72)]"
Blues,"[('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72)]","[('3/8', '66', 72)]"
Blues,"[('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72)]","[('1/4', '64,67', 72)]"
Blues,"[('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('3/8', '66', 72), ('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72)]","[('1/4', '62,66', 72)]"
Blues,"[('1/8', '64,69,72', 72), ('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('1/2', '64', 72)]"
Blues,"[('1/4', '64,69,72', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72)]","[('3/8', '61', 72)]"
Blues,"[('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/4', '62,67,71', 72), ('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72)]","[('1/4', '64,67', 72)]"
Blues,"[('1/8', '65,69', 72), ('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('3/8', '66', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72)]","[('1/4', '62,66', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('3/8', '64', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72)]","[('3/8', '61', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72)]","[('1/8', '62,67', 72)]"
Blues,"[('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72)]","[('1/4', '62,67', 72)]"
Blues,"[('1/2', '64', 72), ('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72)]","[('3/8', '62,67', 72)]"
Blues,"[('3/8', '61', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72)]","[('1/8', '62,67', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72)]","[('1/8', '62,67', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72)]","[('1/4', '62,67', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72)]","[('1/8', '64,69,72', 72)]"
Blues,"[('1/4', '62,66', 72), ('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72)]","[('1/4', '62,67,71', 72)]"
Blues,"[('3/8', '64', 72), ('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72)]","[('1/8', '65,66,69', 72)]"
Blues,"[('3/8', '61', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72)]","[('1/4', '66,69', 72)]"
Blues,"[('1/8', '62,67', 72), ('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72)]","[('1/4', '64,69', 72)]"
Blues,"[('1/4', '62,67', 72), ('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72)]","[('1/4', '62', 72)]"
Blues,"[('3/8', '62,67', 72), ('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/8', '62,67', 72), ('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72)]","[('1/4', '64,67', 72)]"
Blues,"[('1/8', '62,67', 72), ('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72)]","[('1/8', '64,67', 72)]"
Blues,"[('1/4', '62,67', 72), ('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72)]","[('1/4', '62,66', 72)]"
Blues,"[('1/8', '64,69,72', 72), ('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72)]","[('1/2', '64', 72)]"
Blues,"[('1/4', '62,67,71', 72), ('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72)]","[('3/8', '61', 72)]"
Blues,"[('1/8', '65,66,69', 72), ('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72)]","[('1/4', '64,76', 72)]"
Blues,"[('1/4', '66,69', 72), ('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72)]","[('1/4', '64,76', 72)]"
Blues,"[('1/4', '64,69', 72), ('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72)]","[('1/8', '64,76', 72)]"
Blues,"[('1/4', '62', 72), ('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72)]","[('1/4', '64,76', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72), ('1/4', '64,76', 72)]","[('1/4', '64,76', 72)]"
Blues,"[('1/4', '64,67', 72), ('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72)]","[('1/8', '64', 72)]"
Blues,"[('1/8', '64,67', 72), ('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64', 72)]","[('1/4', '64', 72)]"
Blues,"[('1/4', '62,66', 72), ('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64', 72), ('1/4', '64', 72)]","[('3/8', '64', 72)]"
Blues,"[('1/2', '64', 72), ('3/8', '61', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64,76', 72), ('1/4', '64,76', 72), ('1/4', '64,76', 72), ('1/8', '64', 72), ('1/4', '64', 72), ('3/8', '64', 72)]","[('3/8', '64,67', 72)]"
